name,link,cost for 2,cuisines,ratings,reviews,address
"shreeji snacks Restaurant, Nikol",https://www.zomato.com/ahmedabad/shreeji-snacks-1-nikol,200,Fast Food,-,," Platinum Plaza, Opposite Kunj Mall, Nikol Road, Nikol, Ahmedabad"
"green forest restaurant Restaurant, Vastral",https://www.zomato.com/ahmedabad/green-forest-restaurant-vastral,400,"North Indian, Fast Food",-,," 41, Green Forest Bungalow, Opposite Satsang Villa, Odhav- Vastral Vastral, Ahmedabad"
"biryani kitchen Restaurant, Bapunagar",https://www.zomato.com/ahmedabad/biryani-kitchen-bapunagar,400,Biryani,-,," SF/ 213, Shyam Shikhar Complex, Road Tax Ground, Bapunagar, Ahmedabad"
"tea coffee etc Restaurant, Bapunagar",https://www.zomato.com/ahmedabad/tea-coffee-etc-bapunagar,200,Beverages,-,," 213, 2nd Floor, Shyam Shikhar Complex, R. Tax Ground, Bapunagar, Ahmedabad"
"biryani hazir ho Restaurant, Satellite",https://www.zomato.com/ahmedabad/biryani-hazir-ho-satellite,600,"Biryani, Mughlai, North Indian",NEW,," Shop 2, Jaydeep Apartment, Jivraj Park, Near Times Of India, Satellite, Ahmedabad"
"alkon restaurant Restaurant, Ashram Road",https://www.zomato.com/ahmedabad/alkon-restaurant-ashram-road,300,"Fast Food, Street Food",-,," 1, Metro Commercial Center, Behind ICICI Bank Income Tax, Old High C.T Road, Ashram Road, Ahmedabad"
"rajwadi dalbati churma Restaurant, Gota",https://www.zomato.com/ahmedabad/rajwadi-dalbati-churma-gota,250,Rajasthani,-,," F3, Near Jay Meldi Maa, Sarodi, Gota, Ahmedabad"
"big bites Restaurant, Gota",https://www.zomato.com/ahmedabad/big-bites-gota,300,"Street Food, Fast Food, North Indian",NEW,," S.G. Highway, Near Vaishnodevi Temple, Gota, Ahmedabad"
"
raj shree tee fast food Restaurant, Vejalpur",https://www.zomato.com/ahmedabad/raj-shree-tee-and-fast-food-vejalpur,250,"Fast Food, Street Food",-,," 11, Dev Aurum, Anand Nagar Road, Vejalpur, Ahmedabad"
"casa blanca boutique resort Restaurant, Bopal",https://www.zomato.com/ahmedabad/casa-blanca-a-boutique-resort-bopal,500,"North Indian, Chinese, Beverages",NEW,," 47/1, Palodia, Ta-Kalol, Bopal, Ahmedabad"
"chacha party cafe Restaurant, Bopal",https://www.zomato.com/ahmedabad/chacha-party-cafe-bopal,250,Fast Food,-,," Ahmedabad Food Junction, YMCA X Road To SP Ring Road, Karnavati Club Road, Mumatpura, Bopal, Ahmedabad"
"food good Restaurant, Thaltej",https://www.zomato.com/ahmedabad/food-for-good-thaltej,350,Fast Food,-,," Stall 5, Opposite Gotila Auda Garden, Thaltej, Ahmedabad"
"urban turban Restaurant, Isanpur",https://www.zomato.com/ahmedabad/urban-turban-isanpur,300,North Indian,3.2,16," Near Sardar Washing Centre, Isanpur Cross Roads, Isanpur, Ahmedabad"
"samosa zone Restaurant, Mani Nagar",https://www.zomato.com/ahmedabad/samosa-zone-mani-nagar,100,Street Food,3.3,14," Gangadhar Shopping Center, Gopal Chowk, Opposite Sardar Patel School, Mani Nagar, Ahmedabad"
"send we cheese Restaurant, Infocity",https://www.zomato.com/ahmedabad/send-we-cheese-infocity-gandhinagar,250,"Sandwich, Fast Food",3.2,13," 8, Urban Otalo Food Park, Nera Mocha, Infocity, Gandhinagar"
"sarvottam banquet restaurant Restaurant, Adalaj",https://www.zomato.com/ahmedabad/sarvottam-banquet-restaurant-adalaj,550,"Chinese, North Indian, Gujarati, Fast Food",3.3,11," Opposite Shagun 108, Divine Circle, SP Ring Road, Zundal, Adalaj, Ahmedabad"
"shree atalji dining hall Restaurant, Vastral",https://www.zomato.com/ahmedabad/shree-atalji-dining-hall-vastral,200,"North Indian, Gujarati",3.3,13," Block A-G/F-6, Pushp Busniess Campus, Opposite Shiv Shakti Society, Vastral Ring Road, Vastral, Ahmedabad"
"desi parantha Restaurant, Gota",https://www.zomato.com/ahmedabad/desi-parantha-gota,300,North Indian,3.1,6," C/1-16, 1st Floor, Shukan Platinum, Opposite Vande Matram, New S.G.Road, Gota, Ahmedabad"
"khana khazana Restaurant, Infocity",https://www.zomato.com/ahmedabad/khana-khazana-infocity-gandhinagar,350,"North Indian, Chinese",3.2,12," B/12, Pramukh Arcade 1, Near Relaince Circle, Infocity, Gandhinagar"
"hitesh sweets Restaurant, Vasna",https://www.zomato.com/ahmedabad/hitesh-sweets-vasna,300,Desserts,3.3,18," Opposite Vasna Bus Stop, Vasna, Ahmedabad"
"radhe dairy parlour Restaurant, Shahibagh",https://www.zomato.com/ahmedabad/radhe-dairy-parlour-shahibagh,250,"Fast Food, Beverages",3.3,11," Mahadev Complex, Opposite Civil Hospital Gate No 2, Shahibagh, Ahmedabad"
