name,link,cost for 2,cuisines,ratings,reviews,address
"tulsi restaurant Restaurant, Udhna Gam",https://www.zomato.com/surat/tulsi-restaurant-udhna-gam,200,"North Indian, Chinese",3.6,59," First Floor, Bus Depot, Udhna Main Road, Udhna Gam, Surat"
"ice cream social by creamery Restaurant, Vesu",https://www.zomato.com/surat/ice-cream-social-by-the-creamery-1-vesu,700,"Ice Cream, Desserts",3.6,43," G 10, Aagam Emporio, Near Vatsalya Bungalows, Vesu, Surat"
"laziz pizza Restaurant, Mota Varachha",https://www.zomato.com/surat/laziz-pizza-mota-varachha,500,"Pizza, Italian, Sandwich",3.6,68," G-9, Sunshine Complex, Opposite CNG Pump, Sudama chowk, Mota Varachha, Surat"
"laziz pizza Restaurant, Pal Gam",https://www.zomato.com/surat/laziz-pizza-pal-gam,500,"Pizza, Fast Food, Beverages",3.6,43," Monark Building, Gaurav Path Road, Pal Gam"
"gateway restaurant Restaurant, Sarthana",https://www.zomato.com/surat/gateway-restaurant-sarthana,500,North Indian,3.3,11," Shop 105 to 114, 1st Floor, Gate Way Business Street, Opposite Shyamdham Mandir, Kamrej, Sarthana, Surat"
"khushi food parcel point Restaurant, Adajan Gam",https://www.zomato.com/surat/khushi-food-parcel-point-1-adajan-gam,300,"North Indian, Chinese",3.3,16," Shop 4, Megha Complex, Opposite Anavil Petrol Pump, Ayodhya Nagari Road, Adajan Gam, Surat"
"chhaswala Restaurant, New Textile Market",https://www.zomato.com/surat/chhaswala-new-textile-market,350,,3.3,16," New supreme textile market, New Textile Market, Surat"
"hot n spice fast food Restaurant, Althan Bhatar",https://www.zomato.com/surat/hot-n-spice-fast-food-althan-bhatar,150,"Chinese, Sandwich, Ice Cream, Pizza",3.3,19," G-72, Atlanta Shopping Mall, Main Road, Bhimrad Canal Road, Althan Bhatar, Surat"
"rakesh chinese food Restaurant, Kamrej",https://www.zomato.com/surat/rakesh-chinese-food-kamrej,400,Chinese,3.3,11," Kamrej Char Rasta, Kamrej, Surat"
"shrinathji bhojnalay Restaurant, Sachin",https://www.zomato.com/surat/shrinathji-bhojnalay-sachin,300,"North Indian, Gujarati, Chinese",3.3,10," 1st Floor, Yogeshvarpark Complex, Above Arihant Bajaj, Sachin, Surat"
"shree raj veg khawsa Restaurant, Athwa",https://www.zomato.com/surat/shree-raj-veg-khawsa-athwa,250,Fast Food,3.3,17," 10 Akshar Deep Shopping Center, Rachna Society, L H Road surat, Athwa, Surat"
"retro bistro Restaurant, Athwa",https://www.zomato.com/surat/retro-bistro-athwa,300,"Desserts, Ice Cream",3.3,12," Shop No 3, Dharmesh Apartment, Dumas Road, Athwa, Surat"
"chatpata chaska Restaurant, Palanpore",https://www.zomato.com/surat/chatpata-chaska-palanpore,350,"Fast Food, Sandwich",NEW,," Shop A/21, triumph Plaza, Beside Apex Hospital, Gaurav Path, Palanpore, Surat"
"veggie bistro Restaurant, Vesu",https://www.zomato.com/surat/veggie-bistro-1-vesu,100,"Chinese, Pizza, Beverages, Continental",3.3,9," D-9, D-10, Aagam Viviana, Opposite of Phoenix Tower, Vesu, Surat"
"nitya amul parlour Restaurant, Amroli",https://www.zomato.com/surat/nitya-amul-parlour-amroli,300,Ice Cream,3.3,18," 84, Gruham Empire, Near Srushti Raw House, Amroli Sayan Road, Amroli, Surat"
"naseeb chinese Restaurant, Rander",https://www.zomato.com/surat/naseeb-chinese-1-rander,150,Chinese,3.3,9," Shop No : 3 Opp Zeenat Chicken Centre, Nr Rehmat Nagar Masjid, Gore Gariba Kabrastan Road, Rander"
"prayosha fast food Restaurant, Varachha",https://www.zomato.com/surat/prayosha-fast-food-varachha,350,"Fast Food, Pizza, Burger",3.3,13," Opposite Sargam Palace, Tulshi Udhyan Garden, Near Rang Avdhut Society, L H Road, Matawadi, Varachha, Surat"
"tandoor Restaurant, Kamrej",https://www.zomato.com/surat/tandoor-1-kamrej,100,"Roast Chicken, Seafood",3.3,11," 697, Nava Faliya, Kholvad, Kamrej, Surat"
"famous vadapav Restaurant, Kamrej",https://www.zomato.com/surat/famous-vadapav-kamrej,,"Biryani, Fast Food, Gujarati",3.6,38," Opposite Navyug College, Near Nilamjam Apartment, Adajan Patiya, Rander, Surat"
"rb bhandari chicken centre Restaurant, Rander",https://www.zomato.com/surat/rb-bhandari-chicken-centre-rander,200,"Bakery, Desserts",3.6,45," Jamnagar Bus Stop, Bina Apartment, Ghod Dod Road, Athwa, Surat"
"umraos cakes n bakes Restaurant, Athwa",https://www.zomato.com/surat/umraos-cakes-n-bakes-2-athwa,300,Ice Cream,3.6,50," Shop no : 02, Block - 275, Ashok Vatika Society, Sagar Society to Kargil Chowk Road, Varachha, Surat"
"amrut ice cream Restaurant, Varachha",https://www.zomato.com/surat/amrut-ice-cream-varachha,100,"North Indian, Chinese, Biryani, Fast Food",3.6,47," Shop 32, Ajanta Shopping Center, Opposite Havmor Mobile, Mali Ni Wadi Salabatpura, Surat"
"sahkar Restaurant, Salabatpura",https://www.zomato.com/surat/sahkar-1-salabatpura,600,Fast Food,3.6,21," Shop 42, Ground Floor, Four Point, Near Maniba Party Plot, VIP Road, Vesu, Surat"
"broth brioche Restaurant, Vesu",https://www.zomato.com/surat/broth-brioche-vesu,400,Healthy Food,3.6,44," G/1 Sanskrut Appartment Opposite KG Fitness, Near Croma Piplod, Surat"
"nutri5 Restaurant, Piplod",https://www.zomato.com/surat/nutri5-1-piplod,250,Fast Food,3.6,42," Shop[ No. 3, Triangle Apt., Opp. Sargam Shopping Center, Parle Point, City Light, Surat"
"hamdam fast food restaurant Restaurant, City Light",https://www.zomato.com/surat/hamdam-fast-food-restaurant-1-city-light,300,"Gujarati, Fast Food",3.6,32," Shop no. G-53, Ground floor, Ambrosia Business Hub, VIP road, Vesu, Surat"
"mahadev alupuri Restaurant, Vesu",https://www.zomato.com/surat/mahadev-alupuri-vesu,100,"Beverages, Desserts",3.6,40," 10/2269, Near Gujarat Mitra Press, Near Rasavala Khaman, Chowk Bazaar, Surat"
"jay shankar lassi Restaurant, Chowk Bazaar",https://www.zomato.com/surat/jay-shankar-lassi-chowk-bazaar,100,Fast Food,3.6,29," Shop G-2, Saswat Residency, Santi Nagar, Udhna, Surat"
"nv fast food Restaurant, Udhna Gam",https://www.zomato.com/surat/nv-fast-food-udhna-gam,200,Gujarati,3.6,30," J-36, VIP Plaza, VIP Road, Vesu, Surat"
"shree jay jalaram locho house Restaurant, Vesu",https://www.zomato.com/surat/shree-jay-jalaram-locho-house-vesu,200,"Chinese, Fast Food, Bohri",3.6,40," Ground Floor, Satyam Complex, Hira Manek Mohalla, Near Nanpura Police Choki, Nanpura, Surat"
"nutty &quot;n&quot; creamy Restaurant, Nanpura",https://www.zomato.com/surat/nutty-n-creamy-nanpura,250,"South Indian, Fast Food",3.6,40," Plot 2, Sattadhar Society, Puna Gam, Varachha, Surat"
"shree sai dhosa Restaurant, Varachha",https://www.zomato.com/surat/shree-sai-dhosa-1-varachha,200,"Mexican, Italian, Lebanese, Beverages",3.6,38," Opposite Happy Home Shantiniketan, Near S D Jain School, Vesu cross road, Udhna Magdalla Road, Vesu, Surat"
"mil junction Restaurant, Vesu",https://www.zomato.com/surat/mil-junction-vesu,500,"Juices, Salad",3.6,26," 28, Shramjivi Society I, Umra, Athwa, Surat"
"rainbow bowl Restaurant, Athwa",https://www.zomato.com/surat/rainbow-bowl-athwa,200,"Fast Food, Street Food",3.3,13," Char Rasta, Navagam, Kamrej, Surat"
"food heaven Restaurant, New Textile Market",https://www.zomato.com/surat/food-heaven-new-textile-market,200,Fast Food,3.5,39," 4/3155-56, Ground Floor, Rayon Chambers, H.K Street, Begampura, New Textile Market, Surat"
"rajbhog ice cream kulfi Restaurant, Adajan Gam",https://www.zomato.com/surat/rajbhog-ice-cream-kulfi-adajan-gam,150,"Ice Cream, Desserts, Beverages",3.5,39," 10 Ankur Shopping Center, Near Gujarat Gas Circle, Opp Vijay Dairy, Adajan, Surat"
"aahar snacks parlour Restaurant, Varachha",https://www.zomato.com/surat/aahar-snacks-parlour-varachha,300,Fast Food,3.5,45," 16/17, Sunrise Chambers, Mini Bazar, Varachha, Surat"
"mr maharaja fastfood Restaurant, Nana Varachha",https://www.zomato.com/surat/mr-maharaja-fastfood-nana-varachha,200,Fast Food,3.5,43," G-68, The Palladium Mall, Opposite Vijaynagar, Besides Dhiraj Sons, Yogichowk, Nana Varachha, Surat"
"1 pizza Restaurant, Sagrampura",https://www.zomato.com/surat/a-1-pizza-sagrampura,200,Pizza,3.5,36," 2/2701, Naryawad, Sagrampura, Surat"
"jalaram icecream fastfood Restaurant, Vesu",https://www.zomato.com/surat/jalaram-icecream-fastfood-vesu,350,"North Indian, Fast Food, Ice Cream, Desserts",3.5,38," 32, Marvella Corridor, VIP Road, Vesu, Surat"
"surti vadapav Restaurant, Vesu",https://www.zomato.com/surat/surti-vadapav-vesu,100,Fast Food,3.5,27," Central Bazzar, Opposite Pooja Abhishek Apartment, Near Reliance Market, Someshwara Enclave, Vesu, Surat"
"navrangi corner Restaurant, Athwa",https://www.zomato.com/surat/navrangi-corner-athwa,100,"Desserts, Ice Cream",3.5,20," 2,3, Shikhhar Building, Opposite Sargam Shopping Centre, Parle Point Athwa, Athwa, Surat"
"players sports cafe Restaurant, Magdalla",https://www.zomato.com/surat/players-sports-cafe-magdalla,500,Cafe,3.5,39," Cityplus Multiplex, Magdalla Circle, Surat-Magdalla Road"
"only dhosa Restaurant, Magob",https://www.zomato.com/surat/only-dhosa-magob,200,South Indian,3.5,39," Shop 1, 2, Sanidhya Residency, Parvat Patiya, Magob, Surat"
"royal roll express Restaurant, Magdalla",https://www.zomato.com/surat/royal-roll-express-magdalla,200,"Rolls, Fast Food",3.5,24," Shop G29, Safal Square, Opposite Prime Shoppers University Road, Magdalla, Surat"
"surendranagarna samosa Restaurant, Mota Varachha",https://www.zomato.com/surat/surendranagarna-samosa-mota-varachha,100,Fast Food,3.5,35," B-1, Saimilan Residency, Sudama Chowk, Mota Varaccha, Surat, Mota Varachha, Surat"
"only dhosa Restaurant, Mota Varachha",https://www.zomato.com/surat/only-dhosa-mota-varachha,200,South Indian,3.5,48," Food Plaza, Simada Naka, Near Amideep Showroom, Varachha Main Road, Mota Varachha, Surat"
"biryani palace Restaurant, Adajan Patiya",https://www.zomato.com/surat/biryani-palace-adajan-patiya,200,"Biryani, Fast Food",3.5,23," Shop 6, Aalishan Enclave, Opposite Star Bazaar, Adajan Patiya, Surat"
"national cold corner Restaurant, New Textile Market",https://www.zomato.com/surat/national-cold-corner-new-textile-market,150,Ice Cream,3.5,43," 3/185, 187, Tower Rd, Choksi Bazar, Bhagal, Haripura, Surat"
"sarvottam restaurant Restaurant, Godadara",https://www.zomato.com/surat/the-sarvottam-restaurant-godadara,500,"North Indian, Chinese",3.2,30," Shop 1-11, Raj Empire, Near Maharana Pratap Chowk, Godadara Naher Road, Godadara, Surat"
"gurung momos express Restaurant, Vesu",https://www.zomato.com/surat/gurung-momos-express-vesu,250,Momos,3.2,29, Chocolate Circle Y junction Near VR Mall Udhna Magdalla Road Surat
"shree ganesh bread mania Restaurant, Magob",https://www.zomato.com/surat/shree-ganesh-bread-mania-magob,200,Fast Food,3.2,12," 42, Gayatri Nagar, Parvat Gam Road, Parvat Patiya, Magob, Surat"
"jj nonvej center Restaurant, Sagrampura",https://www.zomato.com/surat/j-j-nonvej-center-2-sagrampura,400,"Seafood, Roast Chicken, Charcoal Chicken",3.2,21," Sub Jail ni Gali, Opp. People's bank, Khatodara, Surat, Sagrampura, Surat"
"shree shyam cholle bhature paratha Restaurant, Udhna Gam",https://www.zomato.com/surat/shree-shyam-cholle-bhature-and-paratha-udhna-gam,200,North Indian,3.2,12," 8/4, Amrut Nagar, Harinagar 2, Udhna Gam, Surat"
"go italy Restaurant, Adajan Gam",https://www.zomato.com/surat/go-italy-adajan-gam,300,Pizza,3.2,17," G4, Proton Plus, Behind Croma Store, L.P Savani Road, Adajan Gam, Surat"
"valkeshwar khaman locho Restaurant, Adajan Gam",https://www.zomato.com/surat/valkeshwar-khaman-locho-adajan-gam,200,Gujarati,3.2,7," Shop L-3, Maruti Chember, Neelkamal, Soc 2, Behind Nanyug College, Anand Mahal Road, Adajan Gam, Surat"
