url,fav,lat,lon
https://www.zomato.com/ahmedabad/belgians-waffle-2-gurukul,Waffles,23.0462510000,72.5305910000
https://www.zomato.com/ahmedabad/pakvan-bodakdev,"Gujarati Thali, Gujarati Food, Aamras, Salad, Roti, Gujrati Thali",23.0382163339,72.5123941898
https://www.zomato.com/ahmedabad/a1-bakers-vastral,₹300 for two people (approx.),23.0105360000,72.6590930000
https://www.zomato.com/ahmedabad/moti-bakery-lal-darwaja,₹150 for two people (approx.),23.0247641164,72.5801964104
https://www.zomato.com/ahmedabad/fruitzone-wafflespot-paldi,₹400 for two people (approx.),23.0065238166,72.5570576638
https://www.zomato.com/ahmedabad/bhavya-point-subhash-bridge,₹400 for two people (approx.),23.0668537466,72.5835736468
https://www.zomato.com/ahmedabad/patel-ice-cream-parlour-navrangpura,₹200 for two people (approx.),23.0402486443,72.5546430051
https://www.zomato.com/ahmedabad/havmor-restaurant-navrangpura,"Chole Bhature, Paneer Tikka, Chana Poori, Poori Chole, Brownie, Pizza, Balti Paneer",23.0378096831,72.5659498572
https://www.zomato.com/ahmedabad/hunger-yums-prahlad-nagar,₹250 for two people (approx.),22.9990510000,72.5044760000
https://www.zomato.com/ahmedabad/shree-ramdev-rajasthan-bhojnalaya-shahibagh,₹350 for two people (approx.),23.0545449128,72.5972623006
https://www.zomato.com/ahmedabad/manek-pizza-manek-chowk,₹300 for two people (approx.),23.0237310000,72.5885200000
https://www.zomato.com/ahmedabad/frankiesta-fast-food-satellite,₹300 for two people (approx.),23.0204598514,72.5056450814
https://www.zomato.com/ahmedabad/new-zealand-gurukul,₹200 for two people (approx.),23.0503242794,72.5319116190
https://www.zomato.com/ahmedabad/am-pm-maggi-point-vastrapur,₹250 for two people (approx.),23.0371140000,72.5280320000
https://www.zomato.com/ahmedabad/hari-om-chole-puri-navrangpura,₹250 for two people (approx.),23.0420646467,72.5504198670
https://www.zomato.com/ahmedabad/jaysinghs-ice-cream-prahlad-nagar,₹200 for two people (approx.),23.0162202522,72.5142274797
https://www.zomato.com/ahmedabad/tropicalsno-ellis-bridge,₹400 for two people (approx.),23.0249258052,72.5595229492
https://www.zomato.com/ahmedabad/noor-tikka-caterers-bhadra,₹300 for two people (approx.),23.0321090000,72.5826900000
https://www.zomato.com/ahmedabad/project-otenga-1-navrangpura,Sandwich,23.0395495108,72.5553477556
https://www.zomato.com/ahmedabad/larte-della-pizza-navrangpura,₹300 for two people (approx.),23.0375230000,72.5648350000
https://www.zomato.com/ahmedabad/eat-punjab-chandkheda,"Tandoori Chicken, Butter Chicken, Paneer Tikka, Chicken Biryani, Chicken Tikka Masala, Pahari Chicken, Chicken Lollipop",23.1061218254,72.5974336267
https://www.zomato.com/ahmedabad/ashrafi-food-hub-jamalpur,₹300 for two people (approx.),23.0130900000,72.5819600000
https://www.zomato.com/ahmedabad/egg-house-bodakdev,₹600 for two people (approx.),23.0449243535,72.4855962396
https://www.zomato.com/ahmedabad/urban-kitli-prahlad-nagar,"Sandwich, Tea",23.0121863531,72.5132833421
https://www.zomato.com/ahmedabad/hotel-asopalav-1-isanpur,₹500 for two people (approx.),22.9732490000,72.5836870000
https://www.zomato.com/ahmedabad/food-on-door-vejalpur,₹400 for two people (approx.),23.0030102645,72.5115744397
https://www.zomato.com/ahmedabad/pizza-plus-airport-gandhinagar-highway-gandhinagar,"Salad, Pasta, Brownie, Noodle",23.1850547008,72.6298575103
https://www.zomato.com/ahmedabad/omkar-dairy-naroda,₹200 for two people (approx.),23.0743740407,72.6551953331
https://www.zomato.com/ahmedabad/bakers-den-paldi,₹300 for two people (approx.),23.0268440000,72.5433810000
https://www.zomato.com/ahmedabad/chamunda-foods-bopal,₹300 for two people (approx.),23.0335761000,72.4629599000
https://www.zomato.com/ahmedabad/bismillah-nikol,₹300 for two people (approx.),23.0525967310,72.6800205186
https://www.zomato.com/ahmedabad/vallabha-dining-hall-navrangpura,"Gujarati Food, Thali, Gujarati Dal",23.0336542456,72.5594086200
https://www.zomato.com/ahmedabad/grilld-n-more-vastrapur,₹550 for two people (approx.),23.0337233599,72.5233127922
https://www.zomato.com/ahmedabad/mr-kutchi-vejalpur,₹150 for two people (approx.),23.0022940000,72.5181130000
https://www.zomato.com/ahmedabad/the-cake-place-radisson-blu-ambavadi,₹600 for two people (approx.),23.0231256175,72.5571686402
https://www.zomato.com/ahmedabad/radhikas-authentic-south-indian-food-gurukul,"Filtered Coffee, Masala Idli, Vada, Podi Masala Dosa, Palak Masala Dosa, Onion Uttapam, Rasam Rice",23.0467470000,72.5294680000
https://www.zomato.com/ahmedabad/hotel-rajpath-restaurant-cafe-satellite,"Tandoori Chicken, Desi Chicken, Roti",23.0304258870,72.5089294463
https://www.zomato.com/ahmedabad/paubhajiwala-airport-gandhinagar-highway-gandhinagar,₹350 for two people (approx.),23.1840105199,72.6292489842
https://www.zomato.com/ahmedabad/capricorn-restaurant-2-bapunagar,₹600 for two people (approx.),23.0372148228,72.6141890511
https://www.zomato.com/ahmedabad/amdos-kitchen-mani-nagar,₹300 for two people (approx.),22.9979386756,72.6165426895
https://www.zomato.com/ahmedabad/friends-coffee-bar-1-navrangpura,₹300 for two people (approx.),23.0388389579,72.5483103096
https://www.zomato.com/ahmedabad/zen-cafe-1-bodakdev,"Coffee, Cappuccino, Carrot Cake, Hot Chocolate, Pizza",23.0342861469,72.5120773539
https://www.zomato.com/ahmedabad/chef-bakers-ranip,₹500 for two people (approx.),23.0807590000,72.5637220000
https://www.zomato.com/ahmedabad/ahmedabad-tiffin-service-nikol,₹400 for two people (approx.),23.0586324552,72.6649716496
https://www.zomato.com/ahmedabad/moca-cabana-mani-nagar,₹400 for two people (approx.),23.0104822783,72.6004661992
https://www.zomato.com/ahmedabad/umiya-annpurna-kathiyawadi-isanpur,₹500 for two people (approx.),22.9749711918,72.6000212272
https://www.zomato.com/ahmedabad/kv-fruits-and-spices-thaltej,₹250 for two people (approx.),23.0568637000,72.4810430000
https://www.zomato.com/ahmedabad/shahi-chaska-1-adalaj,₹700 for two people (approx.),23.1332408100,72.5242455304
https://www.zomato.com/ahmedabad/balaji-food-corner-ghatlodia,₹350 for two people (approx.),23.0679034667,72.5296310708
