name,link,cost for 2,cuisines,ratings,reviews,address,lat,lon
"saritas Restaurant, Bogmalo",https://www.zomato.com/goa/saritas-bogmalo,700,"North Indian, Continental, Seafood, Goan",2.9,24," Bogmalo Beach, Bogmalo, Goa",15.5163895399,73.7670490891
"xavier beach resort restaurant Restaurant, Candolim",https://www.zomato.com/goa/xavier-beach-resort-restaurant-candolim,800,"Chinese, Continental, Goan, North Indian, Seafood",3.1,5," Opposite State Bank Of India, Vaddy Candolim Barde, Candolim, Goa",0.0000000000,0.0000000000
"spice veda multi cuisine restaurant Restaurant, Candolim",https://www.zomato.com/goa/spice-veda-multi-cuisine-restaurant-candolim,"1,000","Goan, Seafood, Continental, North Indian",-,," Plot 252/4, Sequirra Vaddo, Candolim Bardez, Candolim, Goa",15.5118721894,73.7682554126
"seafood corner bar restaurant  Restaurant, Candolim",https://www.zomato.com/goa/seafood-corner-bar-restaurant-candolim,600,"Chinese, North Indian, Goan, Fast Food",-,," Big Daddy’s Inn, Vaddy, Candolim, Goa",15.4959548730,73.8344908878
"kinara Restaurant, Cavelossim",https://www.zomato.com/goa/kinara-cavelossim,600,"Goan, Chinese, Seafood, North Indian, Fast Food",3.5,59," Mobor Road, Salcete, Cavelossim, Goa",15.4990577927,73.8334746659
"china gate Restaurant, Margao",https://www.zomato.com/goa/china-gate-margao,700,"Seafood, North Indian, Goan, Chinese",3.7,99," Near Woodland Hotel, Margao, Goa",15.2386763111,73.9422627166
"banyan place Restaurant, Baga",https://www.zomato.com/goa/banyan-place-1-baga,500,Goan,3.3,7," Baga Creek Road, Arpora, Bardez, Baga, Goa",15.2974975252,73.9181929082
"harshads biryani corner Restaurant, Mapusa",https://www.zomato.com/goa/harshads-biryani-corner-mapusa,400,"Mughlai, North Indian",-,," Shop 10, White Castle Building, Mapusa, Goa",15.2605762499,74.1090776771
"cowboys family restaurant Restaurant, Benaulim",https://www.zomato.com/goa/cowboys-family-restaurant-benaulim,300,"North Indian, Chinese",-,," Shop 4/5, Chayya Residency Complex, Varca, Near Benaulim, Goa",15.1802424665,73.9477793500
"oshiann beer garden Restaurant, Betalbatim",https://www.zomato.com/goa/oshiann-beer-garden-betalbatim,"1,000","Goan, Chinese, North Indian, South Indian",-,," Salset, Colva Beach Highway, Near Zara House, Betalbatim, Goa",15.5680653407,73.7524545193
"bombay tawa Restaurant, Vasco",https://www.zomato.com/goa/bombay-tawa-vasco,300,"Mughlai, North Indian, Chinese",2.8,9," A-4, Classic Building, South Goa, Vasco, Goa",15.2732714306,73.9559453353
"soyaras Restaurant, Panaji",https://www.zomato.com/goa/soyaras-1-panaji,450,"Fast Food, North Indian",3.7,32," Dempo Towers, Panaji, Goa",15.2829076111,73.9691153169
"bhatti village family restaurant bar Restaurant, Nerul",https://www.zomato.com/goa/bhatti-village-family-restaurant-bar-nerul,500,Goan,4.1,154," Bhatti Waddo, Nerul, Goa",15.2924159274,73.9562192559
"hotel shradha Restaurant, Bardez",https://www.zomato.com/goa/hotel-shradha-bardez,500,"Goan, Chinese, Kebab, North Indian",3.3,11," House 125C, College Road, Dattawadi, Bardez, Goa",15.5151460912,73.7871321291
"cool n spice Restaurant, Margao",https://www.zomato.com/goa/cool-n-spice-2-margao,600,"North Indian, Chinese, Continental",-,," St. Joaquim Road, Opposite Aleesha Residency, Margao, Goa",15.2257794364,74.0867935494
"arabian courtyard multi cuisine restaurant Restaurant, Colva",https://www.zomato.com/goa/arabian-courtyard-multi-cuisine-restaurant-colva,800,"North Indian, Biryani, Chinese, Desserts, Beverages",3.1,52," 687, Merces Complex, Ward 1, Salcete, Colva, Goa",15.3707021013,73.8459707424
"fx bar restaurant Restaurant, Bogmalo",https://www.zomato.com/goa/fx-bar-restaurant-bogmalo,800,Finger Food,-,," Near J.North.C. Vieira Nagar, Chicolna, Bogmalo, Goa",15.5385729697,73.7663627788
"spice family restaurant bar Restaurant, Quepem",https://www.zomato.com/goa/spice-family-restaurant-bar-quepem,600,"North Indian, Goan, Mughlai, Chinese, Bar Food",-,," Trample, Quepem, Goa",15.3811474578,73.8724495098
"dawat e darbar Restaurant, Margao",https://www.zomato.com/goa/dawat-e-darbar-margao,300,Biryani,NEW,," Shop 5 & 6, Loyla Housing Society, Balepand, Ambhaji, Margao, Goa",15.5909636825,73.8142666966
"cafe knowhere Restaurant, Mapusa",https://www.zomato.com/goa/cafe-knowhere-mapusa,400,"Fast Food, Beverages, Ice Cream",3.5,17," Dangui Colony, Ghateshwar Nagar, Sonar Vaddo, Near Kamat Gardens, Mapusa, Goa",15.2724693119,73.9711843058
"cafe del mar Restaurant, Calangute",https://www.zomato.com/goa/cafe-del-mar-calangute,500,"North Indian, Continental, Goan, Seafood, Chinese",3.0,10," Gauro Vaddo, Calangute Beach, Calangute, Goa",15.5541614164,73.7552956492
"scirocco Restaurant, Calangute",https://www.zomato.com/goa/scirocco-calangute,550,"North Indian, Mughlai, Chinese, Italian, Beverages",3.1,11," H 5/184/B, Ward 5, Umta Vaddo, Calangute, Goa",15.2839195882,73.9798371121
"pastiery palace Restaurant, Margao",https://www.zomato.com/goa/pastiery-palace-margao,200,Desserts,-,," Shop 1, Josefina CHS, Aquem Alto, Margao, Goa",15.5964936262,73.8098658621
"hotel vijay hanuman Restaurant, Mapusa",https://www.zomato.com/goa/hotel-vijay-hanuman-mapusa,400,Fast Food,-,," Duler Ground Road, Opposite Ramesh Wine Store, Near Alankar Theater, Mapusa, Goa",15.2787690950,73.9246030524
"fishermans wharf Restaurant, Calangute",https://www.zomato.com/goa/the-fishermans-wharf-calangute,"1,100","Seafood, Goan, North Indian, Continental, Asian",4.4,1255," 2/35B - 2/35C, Opposite Little Flower School, Naika Waddo, Calangute, Goa",15.5353194676,73.7576606870
"ambica chicken world Restaurant, Margao",https://www.zomato.com/goa/ambica-chicken-world-margao,500,"North Indian, Chinese",2.8,12," B 15- 17, Below Osia Multiplex, Margao, Goa",15.2858167489,73.9572914690
"santa maria Restaurant, Baga",https://www.zomato.com/goa/santa-maria-baga,800,"North Indian, Chinese, Continental, Seafood",-,," CSM Road, Baga, Goa",15.3138003004,73.9141990989
"coffee house Restaurant, Margao",https://www.zomato.com/goa/coffee-house-1-margao,300,"Beverages, Italian",-,," Shop 1, 3/9752, Ground Floor, Mohammad Tower, Near Gogol Circle, Margao, Goa",15.5460281801,73.7589934096
"sams pub n bistro Restaurant, Morjim",https://www.zomato.com/goa/sams-pub-n-bistro-morjim,"1,000","Asian, Continental, Goan",3.4,46," Turtle Beach, Temb Vaddo, Morjim, Goa",15.5958125638,73.8116106391
"leda seashells Restaurant, Bambolim",https://www.zomato.com/goa/leda-seashells-bambolim,"1,500",Seafood,4.0,239," Siridao, Bambolim, Goa",15.5634833000,73.7639489000
"magzika bar restaurant Restaurant, Majorda",https://www.zomato.com/goa/magzika-bar-restaurant-majorda,700,"Fast Food, Chinese, North Indian",-,," Gomes Vaddo Road, Pacheco Vaddo, Majorda, Goa",15.4415140656,73.8603973389
