name,link,cost for 2,cuisines,ratings,reviews,address
"santosh fast food Restaurant, Alwar Locality",https://www.zomato.com/alwar/santosh-fast-food-alwar-locality,150,Fast Food,3.5,8," Vivekananda Nagar, Alwar, Alwar Locality, Alwar"
"hut family restaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/the-hut-family-restaurant-alwar-locality,300,"Indian, Fast Food",3.8,8," 14 Moti Doongri nearby Rajiv Gandhi park Alwar, Alwar Locality, Alwar"
"capsicum restaurant Restaurant, Alwar Locality",https://www.zomato.com/alwar/capsicum-restaurant-alwar-locality,500,"Burger, Sandwich, Chinese",3.5,9," Shiv Complex, Alwar - 301001, Near Cross Point Mall, Alwar Locality, Alwar"
"brothers food court Restaurant, Alwar Locality",https://www.zomato.com/alwar/brothers-food-court-alwar-locality,100,"Fast Food, Chinese, Momos, Rolls, Sandwich",3.4,5," Shop No. 27, Scheme No. 2, Lajpat Nagar, Alwar., Alwar Locality, Alwar"
"kabab curry express Restaurant, Alwar Locality",https://www.zomato.com/alwar/kabab-curry-and-express-alwar-locality,250,North Indian,3.4,5," 19, Moti Dungari Alwar, Alwar (Rajasthan), Alwar Locality, Alwar"
"giani ice cream Restaurant, Alwar Locality",https://www.zomato.com/alwar/giani-ice-cream-alwar-locality,200,"Desserts, Ice Cream",3.7,8," 28, Lajpat Nagar Vijay Mandir Road Alwar, Alwar Locality, Alwar"
"de pizza planet Restaurant, Alwar Locality",https://www.zomato.com/alwar/de-pizza-planet-alwar-locality,200,"Fast Food, Pizza, Beverages",3.4,5," Shop No. DLGF-20, Capital Galleriya Mall, Manu Marg, Alwar, Alwar Locality, Alwar"
"panchi petha Restaurant, Alwar Locality",https://www.zomato.com/alwar/panchi-petha-alwar-locality,300,Mithai,3.8,8," Shop no. 7, City Centre, Nangli Circle, Alwar Locality, Alwar"
"sp food plaza Restaurant, Alwar Locality",https://www.zomato.com/alwar/s-p-food-plaza-alwar-locality,100,Fast Food,3.6,5," Shop No.44 Alkapuri, shopping Complex, alwar, Alwar Locality, Alwar"
"china town Restaurant, Alwar Locality",https://www.zomato.com/alwar/china-town-alwar-locality,200,"South Indian, Fast Food",-,," Nehru Garden RR College road alwar, Alwar Locality, Alwar"
"nest cafe sparrow inn Restaurant, Alwar Locality",https://www.zomato.com/alwar/nest-cafe-sparrow-inn-alwar-locality,750,"Mughlai, North Indian",3.4,2," Opposite PNB Bank Manu Marg Alwar, Alwar Locality, Alwar"
