name,link,cost for 2,cuisines,ratings,reviews,address
"hotel sa imperial famaly restaurant Restaurant, Nai Basti",https://www.zomato.com/amravati/hotel-s-a-imperial-a-famaly-restaurant-nai-basti,,,-,," Rahatgaon Naka, Nagpur Bypass, Amravati - 444601, Opp.poonam Tiles, Nai Basti, Amravati"
"garden glory restaurant Restaurant, Maltekedi",https://www.zomato.com/amravati/garden-glory-restaurant-maltekedi,,,-,," Circuit House Road, Amravati Camp, Amravati - 444602, Old Biyani Square, Maltekedi, Amravati"
"hotel dreamland restaurant bar Restaurant, Ambapeth",https://www.zomato.com/amravati/hotel-dreamland-restaurant-bar-ambapeth,,"North Indian, Chinese, Beverages",-,," Rajapeth Chowk, Badnera Road, Rajapeth, Amravati, Ambapeth, Amravati"
"baba fast food restaurant Restaurant, Sai Nagar",https://www.zomato.com/amravati/baba-fast-food-and-restaurant-sai-nagar,,Fast Food,-,," Ekvira viddut colony, Sai Nagar, Amravati municipal corp zone 04, amravati"
"thali starters Restaurant, Sai Nagar",https://www.zomato.com/amravati/thali-starters-sai-nagar,150,"North Indian, Modern Indian, Maharashtrian",-,," m/s manvaar the Indian restaurant near hotel royal inn, nawathe plot, badnera road, Amravati, Sai Nagar, Amravati"
"shree sai chinese Restaurant, Ambapeth",https://www.zomato.com/amravati/shree-sai-chinese-ambapeth,200,,-,," Shop no 1, Camp Road, Amravati Camp, Amravati - 444602, Ambapeth, Amravati"
"hotel union house Restaurant, Maltekedi",https://www.zomato.com/amravati/hotel-union-house-maltekedi,200,"Indian, Juices, Modern Indian, Sandwich",-,," nearby wadali garden, camp Amravati, Maltekedi, Amravati"
"hotel banaras Restaurant, Ambapeth",https://www.zomato.com/amravati/hotel-banaras-ambapeth,200,North Indian,-,," Saroj chawk, near prabhat talkies, Ambapeth, Amravati"
"hotel namaskar Restaurant, Dastur Nagar",https://www.zomato.com/amravati/hotel-namaskar-dastur-nagar,200,"North Indian, Maharashtrian, Indian, Biryani",-,," shop no. 2 malu market shankar nagar road near hari ganga oil mill, Dastur Nagar, Amravati"
"ashoka bar restaurant Restaurant, Navsaari",https://www.zomato.com/amravati/ashoka-bar-restaurant-navsaari,200,,-,," Main Road, Paratwada, Amravati - 444805, Near Maharashtra Electronics, Navsaari, Amravati"
